Nazwa,Rok,Przychody ze sprzedaży [tys. zł],Zysk netto [tys. zł],Koszty sprzedaży [tys. zł],EBITDA [tys. zł],Wartość firmy [tys. zł],Kredyty i pożyczki [tys. zł],Aktywa razem [tys. zł],Pasywa razem [tys. zł],Dywidenda [tys. zł]
MERCATOR,2015,226593.0,10307.0,0.0,22761.0,0.0,17748.0,157990.0,157990.0,2161.0
MERCATOR,2016,263591.0,14841.0,0.0,25708.0,0.0,29092.0,207851.0,207851.0,0.0
MERCATOR,2017,300764.0,5364.0,0.0,14389.0,0.0,29018.0,288740.0,288740.0,1570.0
MERCATOR,2018,420410.0,7045.0,0.0,30564.0,0.0,65223.0,382514.0,382514.0,0.0
MERCATOR,2019,540333.0,-2031.0,0.0,24633.0,0.0,49574.0,386711.0,386711.0,0.0
MERCATOR,2020,1834174.0,935569.0,0.0,1066139.0,0.0,686.0,1289312.0,1289312.0,8193.0
MERCATOR,2021,1727349.0,444852.0,0.0,482739.0,0.0,0.0,1288523.0,1288523.0,0.0
MERCATOR,2022,542512.0,-190786.0,0.0,-155544.0,0.0,211.0,1083068.0,1083068.0,0.0
MERCATOR,2023,469064.0,-22836.0,0.0,-64996.0,0.0,148.0,965226.0,965226.0,23873.0
MERCATOR,2024,542486.0,49832.0,0.0,54410.0,0.0,49.0,1043436.0,1043436.0,0.0
MERCATOR,2025,579624.0,62321.0,0.0,57250.0,0.0,73.0,1001739.0,1001739.0,0.0
MERCOR,2007,293379.0,27717.0,33248.0,43290.0,,13936.0,241391.0,241391.0,627.0
MERCOR,2008,458396.0,44671.0,47879.0,75827.0,231785.0,91791.0,591487.0,591487.0,1506.0
MERCOR,2009,440467.0,26568.0,55302.0,53001.0,231787.0,77662.0,538498.0,538498.0,250.0
